Source,Target,Value,Units,Table ID
Electricity,"Copper, Nickel, Lead and Zinc Mines",19.7,Petajoules,id_ca_e_9
Natural Gas,"Copper, Nickel, Lead and Zinc Mines",2.3,Petajoules,id_ca_e_9
"Diesel Fuel Oil, Light Fuel Oil and Kerosene","Copper, Nickel, Lead and Zinc Mines",13.4,Petajoules,id_ca_e_9
Heavy Fuel Oil,"Copper, Nickel, Lead and Zinc Mines",0.0,Petajoules,id_ca_e_9
Still Gas and Petroleum Coke,"Copper, Nickel, Lead and Zinc Mines",0.0,Petajoules,id_ca_e_9
LPG and Gas Plant NGL,"Copper, Nickel, Lead and Zinc Mines",1.1,Petajoules,id_ca_e_9
Coal,"Copper, Nickel, Lead and Zinc Mines",0.0,Petajoules,id_ca_e_9
Coke and Coke Oven Gas,"Copper, Nickel, Lead and Zinc Mines",0.0,Petajoules,id_ca_e_9
Wood Waste and Pulping Liquor,"Copper, Nickel, Lead and Zinc Mines",0.0,Petajoules,id_ca_e_9
Other1,"Copper, Nickel, Lead and Zinc Mines",0.0,Petajoules,id_ca_e_9
Electricity,Iron Mines,15.0,Petajoules,id_ca_e_10
Natural Gas,Iron Mines,0.0,Petajoules,id_ca_e_10
"Diesel Fuel Oil, Light Fuel Oil and Kerosene",Iron Mines,8.9,Petajoules,id_ca_e_10
Heavy Fuel Oil,Iron Mines,,Petajoules,id_ca_e_10
Still Gas and Petroleum Coke,Iron Mines,0.0,Petajoules,id_ca_e_10
LPG and Gas Plant NGL,Iron Mines,0.0,Petajoules,id_ca_e_10
Coal,Iron Mines,0.0,Petajoules,id_ca_e_10
Coke and Coke Oven Gas,Iron Mines,,Petajoules,id_ca_e_10
Wood Waste and Pulping Liquor,Iron Mines,0.0,Petajoules,id_ca_e_10
Other1,Iron Mines,0.0,Petajoules,id_ca_e_10
Electricity,Gold and Silver Mines,15.6,Petajoules,id_ca_e_11
Natural Gas,Gold and Silver Mines,1.3,Petajoules,id_ca_e_11
"Diesel Fuel Oil, Light Fuel Oil and Kerosene",Gold and Silver Mines,11.8,Petajoules,id_ca_e_11
Heavy Fuel Oil,Gold and Silver Mines,,Petajoules,id_ca_e_11
Still Gas and Petroleum Coke,Gold and Silver Mines,0.0,Petajoules,id_ca_e_11
LPG and Gas Plant NGL,Gold and Silver Mines,1.2,Petajoules,id_ca_e_11
Coal,Gold and Silver Mines,,Petajoules,id_ca_e_11
Coke and Coke Oven Gas,Gold and Silver Mines,0.0,Petajoules,id_ca_e_11
Wood Waste and Pulping Liquor,Gold and Silver Mines,0.0,Petajoules,id_ca_e_11
Other1,Gold and Silver Mines,0.0,Petajoules,id_ca_e_11
Electricity,Other Metal Mines,2.7,Petajoules,id_ca_e_12
Natural Gas,Other Metal Mines,0.0,Petajoules,id_ca_e_12
"Diesel Fuel Oil, Light Fuel Oil and Kerosene",Other Metal Mines,1.0,Petajoules,id_ca_e_12
Heavy Fuel Oil,Other Metal Mines,0.0,Petajoules,id_ca_e_12
Still Gas and Petroleum Coke,Other Metal Mines,0.0,Petajoules,id_ca_e_12
LPG and Gas Plant NGL,Other Metal Mines,1.9,Petajoules,id_ca_e_12
Coal,Other Metal Mines,0.0,Petajoules,id_ca_e_12
Coke and Coke Oven Gas,Other Metal Mines,0.0,Petajoules,id_ca_e_12
Wood Waste and Pulping Liquor,Other Metal Mines,0.0,Petajoules,id_ca_e_12
Other1,Other Metal Mines,0.0,Petajoules,id_ca_e_12
Electricity,Salt Mines,0.7,Petajoules,id_ca_e_13
Natural Gas,Salt Mines,2.2,Petajoules,id_ca_e_13
"Diesel Fuel Oil, Light Fuel Oil and Kerosene",Salt Mines,0.2,Petajoules,id_ca_e_13
Heavy Fuel Oil,Salt Mines,,Petajoules,id_ca_e_13
Still Gas and Petroleum Coke,Salt Mines,0.0,Petajoules,id_ca_e_13
LPG and Gas Plant NGL,Salt Mines,0.0,Petajoules,id_ca_e_13
Coal,Salt Mines,0.0,Petajoules,id_ca_e_13
Coke and Coke Oven Gas,Salt Mines,0.0,Petajoules,id_ca_e_13
Wood Waste and Pulping Liquor,Salt Mines,0.0,Petajoules,id_ca_e_13
Other1,Salt Mines,0.0,Petajoules,id_ca_e_13
Electricity,Potash Mines,10.0,Petajoules,id_ca_e_14
Natural Gas,Potash Mines,30.7,Petajoules,id_ca_e_14
"Diesel Fuel Oil, Light Fuel Oil and Kerosene",Potash Mines,0.3,Petajoules,id_ca_e_14
Heavy Fuel Oil,Potash Mines,0.0,Petajoules,id_ca_e_14
Still Gas and Petroleum Coke,Potash Mines,0.0,Petajoules,id_ca_e_14
LPG and Gas Plant NGL,Potash Mines,0.0,Petajoules,id_ca_e_14
Coal,Potash Mines,0.0,Petajoules,id_ca_e_14
Coke and Coke Oven Gas,Potash Mines,0.0,Petajoules,id_ca_e_14
Wood Waste and Pulping Liquor,Potash Mines,0.0,Petajoules,id_ca_e_14
Other1,Potash Mines,0.0,Petajoules,id_ca_e_14
Electricity,Other Non-Metal Mines,0.4,Petajoules,id_ca_e_15
Natural Gas,Other Non-Metal Mines,0.7,Petajoules,id_ca_e_15
"Diesel Fuel Oil, Light Fuel Oil and Kerosene",Other Non-Metal Mines,7.5,Petajoules,id_ca_e_15
Heavy Fuel Oil,Other Non-Metal Mines,0.0,Petajoules,id_ca_e_15
Still Gas and Petroleum Coke,Other Non-Metal Mines,0.0,Petajoules,id_ca_e_15
LPG and Gas Plant NGL,Other Non-Metal Mines,1.7,Petajoules,id_ca_e_15
Coal,Other Non-Metal Mines,0.0,Petajoules,id_ca_e_15
Coke and Coke Oven Gas,Other Non-Metal Mines,0.0,Petajoules,id_ca_e_15
Wood Waste and Pulping Liquor,Other Non-Metal Mines,0.0,Petajoules,id_ca_e_15
Other1,Other Non-Metal Mines,0.0,Petajoules,id_ca_e_15
Electricity,Upstream Mining,54.5,Petajoules,id_ca_e_16
Natural Gas,Upstream Mining,769.6,Petajoules,id_ca_e_16
"Diesel Fuel Oil, Light Fuel Oil and Kerosene",Upstream Mining,74.5,Petajoules,id_ca_e_16
Heavy Fuel Oil,Upstream Mining,0.0,Petajoules,id_ca_e_16
Still Gas and Petroleum Coke,Upstream Mining,216.6,Petajoules,id_ca_e_16
LPG and Gas Plant NGL,Upstream Mining,43.9,Petajoules,id_ca_e_16
Coal,Upstream Mining,0.0,Petajoules,id_ca_e_16
Coke and Coke Oven Gas,Upstream Mining,0.0,Petajoules,id_ca_e_16
Wood Waste and Pulping Liquor,Upstream Mining,0.0,Petajoules,id_ca_e_16
Other1,Upstream Mining,0.0,Petajoules,id_ca_e_16
Electricity,Fruit and Vegetable Industries,3.8,Petajoules,id_ca_e_17
Natural Gas,Fruit and Vegetable Industries,,Petajoules,id_ca_e_17
"Diesel Fuel Oil, Light Fuel Oil and Kerosene",Fruit and Vegetable Industries,0.1,Petajoules,id_ca_e_17
Heavy Fuel Oil,Fruit and Vegetable Industries,,Petajoules,id_ca_e_17
Still Gas and Petroleum Coke,Fruit and Vegetable Industries,0.0,Petajoules,id_ca_e_17
LPG and Gas Plant NGL,Fruit and Vegetable Industries,0.0,Petajoules,id_ca_e_17
Coal,Fruit and Vegetable Industries,0.0,Petajoules,id_ca_e_17
Coke and Coke Oven Gas,Fruit and Vegetable Industries,0.0,Petajoules,id_ca_e_17
Wood Waste and Pulping Liquor,Fruit and Vegetable Industries,,Petajoules,id_ca_e_17
Other1,Fruit and Vegetable Industries,,Petajoules,id_ca_e_17
Electricity,Dairy Products Industry,3.9,Petajoules,id_ca_e_18
Natural Gas,Dairy Products Industry,,Petajoules,id_ca_e_18
"Diesel Fuel Oil, Light Fuel Oil and Kerosene",Dairy Products Industry,,Petajoules,id_ca_e_18
Heavy Fuel Oil,Dairy Products Industry,,Petajoules,id_ca_e_18
Still Gas and Petroleum Coke,Dairy Products Industry,0.0,Petajoules,id_ca_e_18
LPG and Gas Plant NGL,Dairy Products Industry,,Petajoules,id_ca_e_18
Coal,Dairy Products Industry,0.0,Petajoules,id_ca_e_18
Coke and Coke Oven Gas,Dairy Products Industry,0.0,Petajoules,id_ca_e_18
Wood Waste and Pulping Liquor,Dairy Products Industry,,Petajoules,id_ca_e_18
Other1,Dairy Products Industry,0.0,Petajoules,id_ca_e_18
Electricity,Meat Products Industries,6.5,Petajoules,id_ca_e_19
Natural Gas,Meat Products Industries,,Petajoules,id_ca_e_19
"Diesel Fuel Oil, Light Fuel Oil and Kerosene",Meat Products Industries,0.3,Petajoules,id_ca_e_19
Heavy Fuel Oil,Meat Products Industries,,Petajoules,id_ca_e_19
Still Gas and Petroleum Coke,Meat Products Industries,0.0,Petajoules,id_ca_e_19
LPG and Gas Plant NGL,Meat Products Industries,0.1,Petajoules,id_ca_e_19
Coal,Meat Products Industries,0.0,Petajoules,id_ca_e_19
Coke and Coke Oven Gas,Meat Products Industries,0.0,Petajoules,id_ca_e_19
Wood Waste and Pulping Liquor,Meat Products Industries,,Petajoules,id_ca_e_19
Other1,Meat Products Industries,0.0,Petajoules,id_ca_e_19
Electricity,Bakery Products Industries,4.0,Petajoules,id_ca_e_20
Natural Gas,Bakery Products Industries,4.5,Petajoules,id_ca_e_20
"Diesel Fuel Oil, Light Fuel Oil and Kerosene",Bakery Products Industries,0.0,Petajoules,id_ca_e_20
Heavy Fuel Oil,Bakery Products Industries,0.0,Petajoules,id_ca_e_20
Still Gas and Petroleum Coke,Bakery Products Industries,0.0,Petajoules,id_ca_e_20
LPG and Gas Plant NGL,Bakery Products Industries,0.3,Petajoules,id_ca_e_20
Coal,Bakery Products Industries,0.0,Petajoules,id_ca_e_20
Coke and Coke Oven Gas,Bakery Products Industries,0.0,Petajoules,id_ca_e_20
Wood Waste and Pulping Liquor,Bakery Products Industries,0.0,Petajoules,id_ca_e_20
Other1,Bakery Products Industries,0.0,Petajoules,id_ca_e_20
Electricity,Beverage Industries (excluding breweries),1.7,Petajoules,id_ca_e_21
Natural Gas,Beverage Industries (excluding breweries),5.5,Petajoules,id_ca_e_21
"Diesel Fuel Oil, Light Fuel Oil and Kerosene",Beverage Industries (excluding breweries),,Petajoules,id_ca_e_21
Heavy Fuel Oil,Beverage Industries (excluding breweries),,Petajoules,id_ca_e_21
Still Gas and Petroleum Coke,Beverage Industries (excluding breweries),0.0,Petajoules,id_ca_e_21
LPG and Gas Plant NGL,Beverage Industries (excluding breweries),,Petajoules,id_ca_e_21
Coal,Beverage Industries (excluding breweries),0.0,Petajoules,id_ca_e_21
Coke and Coke Oven Gas,Beverage Industries (excluding breweries),0.0,Petajoules,id_ca_e_21
Wood Waste and Pulping Liquor,Beverage Industries (excluding breweries),0.0,Petajoules,id_ca_e_21
Other1,Beverage Industries (excluding breweries),0.0,Petajoules,id_ca_e_21
Electricity,Breweries Industries,1.0,Petajoules,id_ca_e_22
Natural Gas,Breweries Industries,2.4,Petajoules,id_ca_e_22
"Diesel Fuel Oil, Light Fuel Oil and Kerosene",Breweries Industries,,Petajoules,id_ca_e_22
Heavy Fuel Oil,Breweries Industries,,Petajoules,id_ca_e_22
Still Gas and Petroleum Coke,Breweries Industries,0.0,Petajoules,id_ca_e_22
LPG and Gas Plant NGL,Breweries Industries,,Petajoules,id_ca_e_22
Coal,Breweries Industries,0.0,Petajoules,id_ca_e_22
Coke and Coke Oven Gas,Breweries Industries,0.0,Petajoules,id_ca_e_22
Wood Waste and Pulping Liquor,Breweries Industries,0.0,Petajoules,id_ca_e_22
Other1,Breweries Industries,,Petajoules,id_ca_e_22
Electricity,Tobacco Products Industries,0.1,Petajoules,id_ca_e_23
Natural Gas,Tobacco Products Industries,,Petajoules,id_ca_e_23
"Diesel Fuel Oil, Light Fuel Oil and Kerosene",Tobacco Products Industries,,Petajoules,id_ca_e_23
Heavy Fuel Oil,Tobacco Products Industries,0.0,Petajoules,id_ca_e_23
Still Gas and Petroleum Coke,Tobacco Products Industries,0.0,Petajoules,id_ca_e_23
LPG and Gas Plant NGL,Tobacco Products Industries,,Petajoules,id_ca_e_23
Coal,Tobacco Products Industries,0.0,Petajoules,id_ca_e_23
Coke and Coke Oven Gas,Tobacco Products Industries,0.0,Petajoules,id_ca_e_23
Wood Waste and Pulping Liquor,Tobacco Products Industries,0.0,Petajoules,id_ca_e_23
Other1,Tobacco Products Industries,0.0,Petajoules,id_ca_e_23
Electricity,Textile Mills,1.6,Petajoules,id_ca_e_24
Natural Gas,Textile Mills,,Petajoules,id_ca_e_24
